timeList,value
"30,11,2017,12,05,03",12373
"30,11,2017,12,05,58",12389
"30,11,2017,12,06,04",12405
"30,11,2017,12,06,06",12421
"30,11,2017,12,06,06",12437
"30,11,2017,12,06,07",12453
"30,11,2017,12,06,08",12469
"30,11,2017,12,06,08",12485
"30,11,2017,12,06,08",12501
"30,11,2017,12,06,08",12517
"30,11,2017,12,06,08",12533
"30,11,2017,12,06,12",12549
"30,11,2017,12,06,28",12565
"30,11,2017,12,06,55",12581
"30,11,2017,12,06,57",12597
"30,11,2017,12,07,08",12613
"30,11,2017,12,07,08",12629
"30,11,2017,12,07,09",12645
"30,11,2017,12,07,09",12661
"30,11,2017,12,07,09",12677
"30,11,2017,12,07,09",12693
"30,11,2017,12,07,10",12709
"30,11,2017,12,07,11",12725
"30,11,2017,12,07,14",12741
"30,11,2017,12,07,20",12757
"30,11,2017,12,07,21",12773
"30,11,2017,12,07,22",12789
"30,11,2017,12,07,22",12805
"30,11,2017,12,07,27",12821
"30,11,2017,12,07,40",12837
"30,11,2017,12,07,41",12853
"30,11,2017,12,07,52",12869
"30,11,2017,12,09,10",12885
"30,11,2017,12,10,01",12901
"30,11,2017,12,10,03",12917
"30,11,2017,12,10,41",12933
"30,11,2017,12,10,41",12949
"30,11,2017,12,10,50",12965
"30,11,2017,12,10,50",12981
"30,11,2017,12,11,03",12997
"30,11,2017,12,11,03",13013
"30,11,2017,12,11,04",13029
"30,11,2017,12,11,04",13045
"30,11,2017,12,11,04",13061
"30,11,2017,12,11,04",13077
"30,11,2017,12,11,04",13093
"30,11,2017,12,11,04",13109
"30,11,2017,12,11,04",13125
"30,11,2017,12,11,04",13141
"30,11,2017,12,14,07",13157
"30,11,2017,12,14,07",13173
"30,11,2017,12,14,07",13189
